"";"ID";"SYMBOL";"b1Mean";"b0Mean";"b1b0log2FC";"b1stderr";"b0stderr";"b0b1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1642";"ILMN_1708936";"EXOSC3";"10.88";"10.37";" 0.5100";"0.08230";"0.08500";"0.11831";"0.0899";"0.796";"0.0901";"0.0237"
"1643";"ILMN_1807397";"NDUFB5";"12.45";"12.74";"-0.2851";"0.03536";"0.06561";"0.07453";"0.1601";"0.796";"0.0243";"0.0193"
"1644";"ILMN_1797531";"PRKAG2";" 7.73";" 6.98";" 0.7514";"0.19043";"0.04219";"0.19505";"0.1546";"0.795";"0.0172";"0.0328"
"1645";"ILMN_1689831";"FLJ11235";" 5.17";" 6.06";"-0.8966";"0.20383";"0.03985";"0.20769";"0.0891";"0.795";"0.0507";"0.0653"
"1646";"ILMN_1751161";"COL7A1";" 5.83";" 6.88";"-1.0568";"0.18469";"0.13601";"0.22937";"0.0644";"0.795";"0.1227";"0.0183"
"1647";"ILMN_1765076";"APPL2";" 7.96";" 8.34";"-0.3816";"0.09001";"0.04568";"0.10094";"0.1686";"0.794";"0.0155";"0.0214"
"1648";"ILMN_1807881";"NEDD4";" 5.33";" 4.86";" 0.4686";"0.11737";"0.01631";"0.11850";"0.1363";"0.794";"0.0212";"0.0487"
"1649";"ILMN_1656486";"DNAJC10";" 5.69";" 4.89";" 0.8019";"0.12665";"0.12502";"0.17796";"0.0718";"0.794";"0.1278";"0.0068"
"1650";"ILMN_2155998";"PSMD6";"11.71";"11.38";" 0.3356";"0.08110";"0.02112";"0.08380";"0.1283";"0.793";"0.0245";"0.0539"
"1651";"ILMN_1730347";"CCDC115";" 7.31";" 8.24";"-0.9330";"0.20000";"0.06446";"0.21013";"0.0773";"0.793";"0.0813";"0.0486"
